episode: 20600 | round: 1 | strat: exploit | valution: 0.144 | bid: 0.000 | opps: ['None', 'None', '0.055'] | won: False | reward: 0.0000 | epsilon: 0.0456 | hype: 0.055
episode: 20600 | round: 2 | strat: exploit | valution: 0.099 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0456 | hype: 0.109
episode: 20600 | round: 3 | strat: exploit | valution: 0.099 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0456 | hype: 0.164
episode: 20600 | round: 4 | strat: exploit | valution: 0.099 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0456 | hype: 0.218
episode: 20600 | round: 5 | strat: exploit | valution: 0.099 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0456 | hype: 0.273

episode: 20700 | round: 1 | strat: exploit | valution: 0.781 | bid: 0.000 | opps: ['0.893', 'None', '0.699'] | won: False | reward: 0.0000 | epsilon: 0.0449 | hype: 0.893
episode: 20700 | round: 2 | strat: exploit | valution: 0.837 | bid: 0.000 | opps: ['None', 'None', '0.896'] | won: False | reward: 0.0000 | epsilon: 0.0449 | hype: 1.789
episode: 20700 | round: 3 | strat: exploit | valution: 0.839 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0449 | hype: 2.685
episode: 20700 | round: 4 | strat: exploit | valution: 0.839 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0449 | hype: 3.581
episode: 20700 | round: 5 | strat: exploit | valution: 0.839 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0449 | hype: 4.477

episode: 20800 | round: 1 | strat: exploit | valution: 0.031 | bid: 0.000 | opps: ['None', 'None', '0.260'] | won: False | reward: 0.0000 | epsilon: 0.0443 | hype: 0.260
episode: 20800 | round: 2 | strat: explore | valution: 0.146 | bid: 0.820 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0260 | epsilon: 0.0443 | hype: 1.080
episode: 20800 | round: 3 | strat: exploit | valution: 0.426 | bid: 0.300 | opps: ['None', 'None', 'None'] | won: False | reward: -0.0040 | epsilon: 0.0443 | hype: 1.900
episode: 20800 | round: 4 | strat: exploit | valution: 0.426 | bid: 0.300 | opps: ['None', 'None', 'None'] | won: False | reward: -0.0340 | epsilon: 0.0443 | hype: 2.720
episode: 20800 | round: 5 | strat: exploit | valution: 0.426 | bid: 0.300 | opps: ['None', 'None', 'None'] | won: True | reward: -0.4583 | epsilon: 0.0443 | hype: 3.540

episode: 20900 | round: 1 | strat: exploit | valution: 0.050 | bid: 0.000 | opps: ['None', 'None', '0.135'] | won: False | reward: 0.0000 | epsilon: 0.0436 | hype: 0.135
episode: 20900 | round: 2 | strat: exploit | valution: 0.093 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0436 | hype: 0.270
episode: 20900 | round: 3 | strat: exploit | valution: 0.093 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0436 | hype: 0.406
episode: 20900 | round: 4 | strat: exploit | valution: 0.093 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0436 | hype: 0.541
episode: 20900 | round: 5 | strat: exploit | valution: 0.093 | bid: 0.000 | opps: ['None', 'None', 'None'] | won: False | reward: 0.0000 | epsilon: 0.0436 | hype: 0.676

episode: 21000 | round: 1 | strat: exploit | valution: 0.673 | bid: 0.000 | opps: ['0.927', '1.000', '0.808'] | won: False | reward: 0.0000 | epsilon: 0.0429 | hype: 1.000
episode: 21000 | round: 2 | strat: explore | valution: 0.837 | bid: 0.220 | opps: ['None', 'None', 'None'] | won: False | reward: -0.0300 | epsilon: 0.0429 | hype: 2.000
